# Softened-Plummer apsidal precession: deviation from exact quadrature oracle
# all per radial period (oracle convention); no pinned literals
# apsis: apsis_softened_sweep.csv (IAS15, geometric apsidal angle per radial period)
# closed form + exact oracle from plummer_apsidal_quadrature.py
eps,oracle,closed,apsis,dev_closed,dev_apsis
0.001,-6.857028949447397e-05,-6.85733729130313e-05,-6.85901954353696e-05,4.496726760327974e-05,0.0002902997937208607
0.001333521432163324,-0.00012193313957276075,-0.00012194261712816439,-0.00012193497139278975,7.772747783607592e-05,1.5023151502591148e-05
0.0017782794100389228,-0.0002168162412150565,-0.00021684804524527436,-0.00021682339410489249,0.00014668656757277354,3.299056286509838e-05
0.0023713737056616554,-0.0003855149253935153,-0.00038561641396686017,-0.00038550171906948094,0.0002632545892777838,3.4256323593329085e-05
0.0031622776601683794,-0.0006854168091283697,-0.0006857337291303131,-0.0006854322236202748,0.0004623755906225657,2.2489223637123246e-05
0.004216965034285823,-0.00121842519564197,-0.001219426171281644,-0.0012184355979281136,0.0008215322887725751,8.537484435411358e-06
0.005623413251903491,-0.002165313748380804,-0.002168480452452744,-0.0021652929555102673,0.0014624689259503665,9.602705636546638e-06
0.007498942093324558,-0.003846164737987934,-0.0038561641396686014,-0.0038461824904825193,0.0025998370745550226,4.615635521343364e-06
0.01,-0.006825790857780234,-0.006857337291303131,-0.006825801829223543,0.004621652520592434,1.6073512267844592e-06
0.01333521432163324,-0.012094905742822348,-0.012194261712816437,-0.012094912855111772,0.00821469568318478,5.880400868463198e-07
0.01778279410038923,-0.021372842436778505,-0.02168480452452744,-0.021372845050025013,0.0145961908750194,1.222694883118436e-07
0.023713737056616554,-0.03758740302200714,-0.03856164139668601,-0.0375873978692054,0.02591927870378452,1.3708852775184965e-07
0.03162277660168379,-0.06555907729971366,-0.0685733729130313,-0.06555910824741407,0.04597831051735679,4.7205820585816127e-07
0.042169650342858224,-0.11276157504577,-0.12194261712816436,-0.1127616210751885,0.08141995248530143,4.0820127322760413e-07
0.05623413251903491,-0.18958783712136995,-0.2168480452452744,-0.1895878834517939,0.1437866929535836,2.44374452673668e-07
0.07498942093324558,-0.30777580925937187,-0.38561641396686014,-0.30777587753658864,0.2529133296564243,2.2184075132436476e-07
0.1,-0.47534783281044835,-0.6857337291303133,-0.47534794803846925,0.44259357421696555,2.424077969465088e-07
