# REBOUND parity — Retrograde Kepler e=0.5 — REBOUND IAS15 side
# protocol: docs/experiments/2026-05-01-rebound-parity-retrograde.md
# integrator: IAS15 (REBOUND)
# rebound_version: 4.6.0
# units: canonical (G = 1)
# a=1.0, e=0.5, m_primary=1.0, m_secondary=1.000000e-06
# orbit_sense: retrograde (secondary_vy = -v_peri)
# period=6.283185307179586232e+00, dt0=4.817952820014329701e-02, n_orbits=10000
orbit,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,e_total
0,0.000000000000000000e+00,-4.999995000005000306e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.732049075519801814e-06,4.999995000005000301e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.732049075519801695e+00,-5.000014999985003469e-07
1,6.284722336075541982e+00,-4.999945799832954614e-07,2.716614233069082658e-09,6.273727241951688520e-09,1.732032032164111831e-06,4.999945799832957727e-01,-2.716614233067696227e-03,-6.273727241951576605e-03,-1.732032032164111612e+00,-5.000014999985005587e-07
2,1.258240177800758630e+01,-4.994816901197605186e-07,2.786596798918605534e-08,6.432045513224354070e-08,1.730256257812467026e-06,4.994816901197612902e-01,-2.786596798918276885e-02,-6.432045513224349254e-02,-1.730256257812466947e+00,-5.000014999985001352e-07
3,1.886234069951881409e+01,-4.996678530841088041e-07,2.230217225346087366e-08,5.148763643913935509e-08,1.730900597789416035e-06,4.996678530841100474e-01,-2.230217225345587292e-02,-5.148763643913929766e-02,-1.730900597789415851e+00,-5.000014999984997117e-07
4,2.514223552641562875e+01,-4.998144412498015997e-07,1.666018864725340935e-08,3.846797725443250450e-08,1.731408131814623363e-06,4.998144412498037314e-01,-1.666018864724600965e-02,-3.846797725443232285e-02,-1.731408131814623053e+00,-5.000014999985005587e-07
5,3.143162951451083487e+01,-4.994966279262252201e-07,2.746118974429633520e-08,6.338708905022494004e-08,1.730307951116199069e-06,4.994966279262286202e-01,-2.746118974428664317e-02,-6.338708905022465145e-02,-1.730307951116198950e+00,-5.000014999985001352e-07
6,3.771156767084382011e+01,-4.996798273904459179e-07,2.189592000743181477e-08,5.055035227748340670e-08,1.730942050999723856e-06,4.996798273904506926e-01,-2.189592000742024772e-02,-5.055035227748320981e-02,-1.730942050999723536e+00,-5.000014999984999234e-07
7,4.399152892293040651e+01,-4.998208579694154671e-07,1.636882939962968885e-08,3.779547819545493257e-08,1.731430351901232405e-06,4.998208579694213283e-01,-1.636882939961589040e-02,-3.779547819545484716e-02,-1.731430351901232179e+00,-5.000014999985001352e-07
8,5.027073146489917832e+01,-4.999389957102729888e-07,9.526463574495809122e-09,2.199911619878204071e-08,1.731839495190809520e-06,4.999389957102796100e-01,-9.526463574480347613e-03,-2.199911619878189978e-02,-1.731839495190809375e+00,-5.000014999984994999e-07
9,5.655072012576368223e+01,-4.999885946863502687e-07,4.044483811613589380e-09,9.340242751691197279e-09,1.732011298815435448e-06,4.999885946863582564e-01,-4.044483811596506773e-03,-9.340242751690985834e-03,-1.732011298815435252e+00,-5.000014999985001352e-07
