# Long-horizon Mercury 1PN — apsis IAS15 side
# protocol: paper/notebooks/2026-05-13-mercury-1pn-long-horizon.md
# integrator: IAS15 (apsis), perturbation: PostNewtonian1PN::for_units(UnitSystem::solar_canonical())
# units: canonical Hénon (G = 1)
# a=0.387098, e=0.20563, m_mercury=1.660114e-7
# period=1.513251312931102266e0, dt0=1.000000000000000048e-4, n_orbits=4153
orbit,t,x,y,vx,vy,a_osc,e_osc,omega_osc
74,1.119810517359352957e2,3.074980658431503144e-1,8.242473875113404645e-4,-4.414663872931753885e-3,1.980085065263447186e0,3.870979024675270108e-1,2.056297998522062520e-1,3.714653534652434655e-5
75,1.135054482067957196e2,3.067925293155682187e-1,2.287407537746884156e-2,-1.221268800217690659e-1,1.975544932772957729e0,3.870979025797620099e-1,2.056298002456477259e-1,3.761729183280520459e-5
76,1.150123562650412765e2,3.073550109352994886e-1,1.032924064536126785e-2,-5.517402525689946158e-2,1.979164374153348671e0,3.870979024902665988e-1,2.056297999319353087e-1,3.813704532988079028e-5
77,1.165246664219515225e2,3.074022802596644288e-1,8.465319813882075245e-3,-4.522150919761223908e-2,1.979468635109849828e0,3.870979024827451709e-1,2.056297999055649028e-1,3.864168409604841600e-5
78,1.180430816792516140e2,3.070279470329059235e-1,1.868066918822511649e-2,-9.975426917266543014e-2,1.977059533364263322e0,3.870979025423081366e-1,2.056298001143731236e-1,3.912920873906080356e-5
79,1.195502625662260670e2,3.074389653069166117e-1,6.668682876208479465e-3,-3.562805304315290467e-2,1.979704768989826613e0,3.870979024769087840e-1,2.056297998851022990e-1,3.964822403469822691e-5
80,1.210687036912997598e2,3.071117917045304013e-1,1.693718083437484312e-2,-9.045145011772935673e-2,1.977599072086385412e0,3.870979025289650322e-1,2.056298000676006765e-1,4.013566776080539880e-5
81,1.225814358613080230e2,3.071573692337894457e-1,1.590932521920268919e-2,-8.496630970389909554e-2,1.977892381954877710e0,3.870979025217117786e-1,2.056298000421739047e-1,4.063911876328949450e-5
82,1.240941437545067885e2,3.072020225101445567e-1,1.483333107829799130e-2,-7.922355069496658797e-2,1.978179757157475960e0,3.870979025146050190e-1,2.056298000172610829e-1,4.114263839653738874e-5
83,1.256068938718819936e2,3.072404397912497087e-1,1.384073896652810581e-2,-7.392544097481379417e-2,1.978427010133567032e0,3.870979025084909653e-1,2.056297999958269229e-1,4.164604031390007998e-5
84,1.271196391949040105e2,3.072765276576702731e-1,1.283908788163211009e-2,-6.857565300310683454e-2,1.978659278809607569e0,3.870979025027477261e-1,2.056297999756925288e-1,4.214945617231925101e-5
85,1.286323567600749129e2,3.073116565674310907e-1,1.178185054461307162e-2,-6.293161700363872346e-2,1.978885381486273465e0,3.870979024971571425e-1,2.056297999560927625e-1,4.265295035207214777e-5
86,1.301450753712441326e2,3.073437099546458828e-1,1.072656162126485631e-2,-5.729763640634649713e-2,1.979091693428881804e0,3.870979024920565559e-1,2.056297999382102337e-1,4.315644207864322181e-5
87,1.316578246185904106e2,3.073711713283274749e-1,9.731787904401182840e-3,-5.198653622811442998e-2,1.979268451359027070e0,3.870979024876868846e-1,2.056297999228904605e-1,4.365984826971667929e-5
88,1.331705496158041342e2,3.073970920889605440e-1,8.688894312164976985e-3,-4.641838042143997534e-2,1.979435293149775399e0,3.870979024835631277e-1,2.056297999084319428e-1,4.416332288063752051e-5
89,1.346892511837174311e2,3.069872491797457359e-1,1.946992609065249444e-2,-1.039688329247999837e-1,1.976797789553039530e0,3.870979025487660818e-1,2.056298001370086559e-1,4.465004803975950874e-5
90,1.362019926137686525e2,3.070389394149366513e-1,1.846081269274647482e-2,-9.858487879260471876e-2,1.977130385322181549e0,3.870979025405416607e-1,2.056298001081807159e-1,4.515347145524621392e-5
91,1.377147088199114364e2,3.070902288932622626e-1,1.740167214671192730e-2,-9.293331081198133448e-2,1.977460421243824928e0,3.870979025323807998e-1,2.056298000795736547e-1,4.565696615169990822e-5
92,1.392275478363890215e2,3.071276924210455395e-1,1.658579514655814102e-2,-8.857658271525914451e-2,1.977701504235727548e0,3.870979025264193463e-1,2.056298000586760100e-1,4.616011771302724458e-5
93,1.407402799660455344e2,3.071722989210242671e-1,1.555786354083883542e-2,-8.309057048900643505e-2,1.977988563302729430e0,3.870979025193213019e-1,2.056298000337939691e-1,4.666356904418235673e-5
94,1.422477037925756349e2,3.074771282800650152e-1,4.023248751453229605e-3,-2.150175681847547871e-2,1.979950417783569394e0,3.870979024708386396e-1,2.056297998638186575e-1,4.718191715846470883e-5
95,1.437603539296407291e2,3.074881512895407121e-1,2.831843857663161965e-3,-1.513907804340973440e-2,1.980021336955275268e0,3.870979024690906489e-1,2.056297998576893382e-1,4.768560346089446329e-5
96,1.452728482974265773e2,3.074965846607432551e-1,1.331950957385586104e-3,-7.128739213425619448e-3,1.980075563988551446e0,3.870979024677573821e-1,2.056297998530152160e-1,4.818972755349305355e-5
97,1.467855536979160433e2,3.074989011210553791e-1,2.498581738740729007e-4,-1.350009434034085687e-3,1.980090423292833135e0,3.870979024673966151e-1,2.056297998517500059e-1,4.869325882749879735e-5
98,1.483041612912942639e2,3.073400130981325806e-1,1.085280800305797426e-2,-5.797542231708921467e-2,1.979067970658357600e0,3.870979024926343159e-1,2.056297999402358911e-1,4.918021481001002361e-5
99,1.498224975524543652e2,3.069087407381565491e-1,2.090887453995925530e-2,-1.116480765324004143e-1,1.976292804208258813e0,3.870979025612370505e-1,2.056298001807209119e-1,4.966797329241947570e-5
100,1.513352726739372542e2,3.069607646512186871e-1,1.996662934181350768e-2,-1.066215992081427366e-1,1.976627511160588435e0,3.870979025529614481e-1,2.056298001517142537e-1,5.017130148500152594e-5
101,1.528479741120165158e2,3.070178492908764989e-1,1.887910307270030882e-2,-1.008165013877712346e-1,1.976994798942961928e0,3.870979025438801013e-1,2.056298001198825498e-1,5.067483639433548035e-5
102,1.543606668362021423e2,3.070725659742097324e-1,1.777360532082602335e-2,-9.491775888871925582e-2,1.977346873132052485e0,3.870979025351751757e-1,2.056298000893691524e-1,5.117839650474824805e-5
103,1.558733941993767758e2,3.071208944567717647e-1,1.673641130481605746e-2,-8.938297953674229079e-2,1.977657860504957732e0,3.870979025274860486e-1,2.056298000624157130e-1,5.168186043693949407e-5
104,1.573802389678035638e2,3.074767606726763192e-1,4.056527208298211888e-3,-2.168180041370855460e-2,1.979948074625526244e0,3.870979024708939287e-1,2.056297998640117808e-1,5.220182989395579241e-5
105,1.588929294599545869e2,3.074872651981108707e-1,2.944976691821752420e-3,-1.574589295688207102e-2,1.980015653192404468e0,3.870979024692282611e-1,2.056297998581728959e-1,5.270540281976499568e-5
106,1.604056526364001627e2,3.074941114092489269e-1,1.898130907068216371e-3,-1.015536371798195225e-2,1.980059678222335195e0,3.870979024681461822e-1,2.056297998543782368e-1,5.320888405041944067e-5
107,1.619242130341533255e2,3.072912197774163023e-1,1.240673430869049590e-2,-6.627376218666482244e-2,1.978753996005559568e0,3.870979025003871143e-1,2.056297999674171206e-1,5.369597643599118513e-5
108,1.634369555263267557e2,3.073236041999256041e-1,1.139877585153122042e-2,-6.089268773122868961e-2,1.978962423855848307e0,3.870979024952352909e-1,2.056297999493549022e-1,5.419940090054550206e-5
109,1.649497282056605059e2,3.073515671641544045e-1,1.045100650641664700e-2,-5.582974302217424967e-2,1.979142397443046208e0,3.870979024907872379e-1,2.056297999337605431e-1,5.470274109059635983e-5
110,1.664624088930225412e2,3.073817294718562687e-1,9.320529062387710589e-3,-4.979380994110431391e-2,1.979336525736738794e0,3.870979024859901307e-1,2.056297999169421631e-1,5.520633979589620652e-5
111,1.679810037970358962e2,3.069648979615757778e-1,1.988991202040133605e-2,-1.062119933621542278e-1,1.976654223794944265e0,3.870979025522865435e-1,2.056298001493490346e-1,5.569336666361352390e-5
112,1.694937319131754236e2,3.070190747191108294e-1,1.885454688188037409e-2,-1.006882040218575469e-1,1.977002797365407183e0,3.870979025436687704e-1,2.056298001191416425e-1,5.619682702013172097e-5
113,1.710064642540530144e2,3.070699561381637910e-1,1.782731988869897671e-2,-9.520746137578824098e-2,1.977330187832865294e0,3.870979025355746339e-1,2.056298000907698098e-1,5.670027629481781082e-5
114,1.725129960624513501e2,3.074712780479297303e-1,4.529125424736774562e-3,-2.420850608675637061e-2,1.979912823195687732e0,3.870979024717602357e-1,2.056297998670494065e-1,5.722111926570588587e-5
115,1.740257298533308870e2,3.074823998150520987e-1,3.503366234390363834e-3,-1.873062617278598019e-2,1.979984375379267858e0,3.870979024699963134e-1,2.056297998608658528e-1,5.772457048548987384e-5
116,1.755440134348299921e2,3.072543186835867135e-1,1.346313513615658014e-2,-7.191523552400409802e-2,1.978516577870907511e0,3.870979025062470935e-1,2.056297999879607707e-1,5.821244363504983623e-5
117,1.770511750543193727e2,3.074963013184319194e-1,1.408025510534107643e-3,-7.537420737659963899e-3,1.980073759392823041e0,3.870979024677996816e-1,2.056297998531634863e-1,5.873153616697278275e-5
118,1.785638683553271449e2,3.074988615952505833e-1,3.020452871363747075e-4,-1.630734648594964198e-3,1.980090174662321623e0,3.870979024674022773e-1,2.056297998517694348e-1,5.923510143368580972e-5
119,1.800824095650829406e2,3.073423144444554778e-1,1.077361691522639442e-2,-5.755444468128170787e-2,1.979082906657998242e0,3.870979024922503453e-1,2.056297999388895514e-1,5.972224375405724400e-5
120,1.815951578829157427e2,3.073699534476092565e-1,9.777013843348180550e-3,-5.223355617676654628e-2,1.979260789714738733e0,3.870979024878548058e-1,2.056297999234795171e-1,6.022565253766308464e-5
121,1.831078726016175722e2,3.073964834447427963e-1,8.713790323099405641e-3,-4.655678771272082905e-2,1.979431533497632234e0,3.870979024836369575e-1,2.056297999086912631e-1,6.072915598567590125e-5
122,1.846206198445783002e2,3.074186291074099131e-1,7.714849884251671203e-3,-4.122309894158125709e-2,1.979574057195546466e0,3.870979024801168289e-1,2.056297998963495799e-1,6.123256848102698140e-5
123,1.861391729726805693e2,3.070516208947662862e-1,1.820367220307899866e-2,-9.721825537929244809e-2,1.977212313394880683e0,3.870979025384763128e-1,2.056298001009406740e-1,6.171970365230600142e-5
124,1.876519081239762556e2,3.071004416665257808e-1,1.718195066032006044e-2,-9.176625946071849393e-2,1.977526449746912052e0,3.870979025307106913e-1,2.056298000737199205e-1,6.222314550235349636e-5
125,1.891647037057463763e2,3.071412100296827541e-1,1.628014289655079980e-2,-8.695081171350449445e-2,1.977788785967110385e0,3.870979025242258231e-1,2.056298000509868829e-1,6.272641879525168757e-5
