# REBOUND parity — Pythagorean three-body (Burrau 1913) — apsis IAS15 side
# protocol: paper/notebooks/2026-04-30-rebound-parity-pythagorean.md
# integrator: IAS15 (apsis)
# units: canonical (G = 1)
# masses=(3,4,5), horizon=7.000000000000000000e1
# samples_per_t_unit=30, dt0=1.000000000000000021e-3
sample,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,e_total
843,2.810817013906100215e1,1.606132030934796839e0,-7.340660890937581451e-1,-1.482895403368953646e0,3.765234079508469889e-1,-1.318965034500986677e0,1.150426412715941371e-1,-9.281661001880080475e-1,-7.038642439019000552e-1,9.149280903990360259e-2,3.484055404389891919e-1,1.632270122171778359e0,3.371773503510125947e-1,-1.281666666407702060e1
844,2.813589811966965826e1,1.564394248592361647e0,-7.232447724384449828e-1,-1.527978538664556130e0,4.044748381393554193e-1,-1.343684691588088898e0,9.564316540928106958e-2,-8.558989200149146326e-1,-6.954653655609996932e-1,1.363112041150465747e-1,3.574323311356517596e-1,1.601506259210665251e0,3.136873895651872690e-1,-1.281666666407702593e1
845,2.818218231733668944e1,1.491840496420610895e0,-7.033206406797074539e-1,-1.608256163807618266e0,4.580487073221951033e-1,-1.380739862289332320e0,6.376368077287422609e-2,-7.475866893836728977e-1,-6.822618637621506998e-1,2.094875919790916419e-1,3.709814397895347948e-1,1.563023049791508967e0,2.709802666164042306e-1,-1.281666666407702593e1
846,2.821684945189102223e1,1.434978194140809959e0,-6.866452418180606365e-1,-1.672894533863807265e0,5.050896047240983622e-1,-1.405371163228690046e0,4.027288731416272388e-2,-6.744210677612576532e-1,-6.730547942742082235e-1,2.633100140984583337e-1,3.797688352395159339e-1,1.543273574527290304e0,2.353900725849082665e-1,-1.281666666407702593e1
847,2.823553969551381826e1,1.403371472024673716e0,-6.769437972201071130e-1,-1.709477271704141099e0,5.334168321655290423e-1,-1.417626787155135792e0,2.773774195383621119e-2,-6.372699683452218711e-1,-6.683298168506117687e-1,2.920785465092966549e-1,3.839760847690049661e-1,1.535502337698662068e0,2.146137541811727334e-1,-1.281666666407702593e1
848,2.827338800472432112e1,1.337210822363285478e0,-6.555593687553943338e-1,-1.787523602155222546e0,5.984349033677415219e-1,-1.440384362135079366e0,2.616324513216623012e-3,-5.661491353888036260e-1,-6.592582801248528801e-1,3.499809962900844451e-1,3.912425616426730701e-1,1.525433469604176251e0,1.683456820792380848e-1,-1.281666666407702770e1
849,2.830812024553735640e1,1.273811082664534133e0,-6.335819321186745290e-1,-1.864046410414092581e0,6.690682971692569758e-1,-1.458975035788341090e0,-2.014486700762889784e-2,-5.049453288254819316e-1,-6.514953459129027014e-1,4.028933790319446651e-1,3.962650528773176140e-1,1.522384109308840827e0,1.197552984287687389e-1,-1.281666666407702593e1
850,2.833990436982681160e1,1.213394832212569163e0,-6.111373660741465930e-1,-1.938282366348607955e0,7.453180053551385909e-1,-1.474171983833117539e0,-4.074517042866514227e-2,-4.517142694692917737e-1,-6.448373285308219849e-1,4.513006877389447169e-1,3.992785559874298396e-1,1.524340835384597970e0,6.867905961157516614e-2,-1.281666666407702593e1
851,2.836926324532655741e1,1.155439653577060133e0,-5.880727793206664833e-1,-2.010293486609595170e0,8.281079864773659427e-1,-1.486736426469179140e0,-5.959101926322264015e-2,-4.044887055228615913e-1,-6.390443544732010706e-1,4.961253490290996049e-1,4.005164830029878109e-1,1.529767056384046198e0,1.437069169214207770e-2,-1.281666666407703303e1
852,2.840929844953481265e1,1.072917450401232875e0,-5.522734231680416217e-1,-2.112881335605138577e0,9.656426731751986958e-1,-1.501681228965102255e0,-8.502552548695330170e-2,-3.425077747887524393e-1,-6.316570226831006440e-1,5.575945129313345516e-1,3.993844742903974732e-1,1.541735021194085009e0,-7.405998575863796674e-2,-1.281666666407702770e1
853,2.843357424822239921e1,1.020854847058494386e0,-5.276361630517338863e-1,-2.176422069483599397e0,1.066672267210563518e0,-1.509551393235588179e0,-1.003079487989305268e-1,-3.060055608350063516e-1,-6.274406468846006613e-1,5.951282063533660516e-1,3.968280568701946232e-1,1.550657690358164587e0,-1.380508428186567604e-1,-1.281666666407702238e1
854,2.846676978520591916e1,9.471772689073860718e-1,-4.895705785960701162e-1,-2.261962026588972385e0,1.232717713276426208e0,-1.518894644640357061e0,-1.210443169271868541e-1,-2.570813676752163879e-1,-6.219564338350171973e-1,6.468093543678462565e-1,3.905778006994014562e-1,1.562842310093556231e0,-2.420654808978412453e-1,-1.281666666407702593e1
855,2.850583733281193588e1,8.569920242966176938e-1,-4.367658172222543822e-1,-2.351673927670630881e0,1.481491349625418286e0,-1.527830367761193520e0,-1.452221125216646147e-1,-2.005037631838094969e-1,-6.158373956675725625e-1,7.080690796309765389e-1,3.782371803506942576e-1,1.571407367149425971e0,-3.962248932411921443e-1,-1.281666666407702238e1
856,2.854009154880257881e1,7.754395224288949118e-1,-3.814166747629201826e-1,-2.403746149147658606e0,1.760844866183681967e0,-1.533855861059785441e0,-1.662281092791603465e-1,-1.513388140366672130e-1,-6.106555042057278948e-1,7.618209753904835457e-1,3.618324922810903232e-1,1.563318740717928756e0,-5.679825163456262427e-1,-1.281666666407703303e1
857,2.857046844540225550e1,7.022490706642937619e-1,-3.234435038395030437e-1,-2.405709803379841194e0,2.065277060529587594e0,-1.537791351005378448e0,-1.847084734454139399e-1,-1.077491765272681479e-1,-6.060716927429200540e-1,8.088836384057187523e-1,3.418328810600429479e-1,1.529625223249718946e0,-7.543088821234157360e-1,-1.281666666407702593e1
858,2.860404552242162524e1,6.225819566663211013e-1,-2.476027445687935813e-1,-2.320291737399565069e0,2.460974528275721163e0,-1.540596452539060524e0,-2.049712278502948959e-1,-5.925656470948342802e-2,-6.008130423348232441e-1,8.589279880314479865e-1,3.125386290215220741e-1,1.439580294207325695e0,-9.959342830975732586e-1,-1.281666666407701882e1
859,2.863423657804160172e1,5.551581007702253157e-1,-1.675514469962979536e-1,-2.124513892454810815e0,2.841689572280546194e0,-1.541721190267252073e0,-2.230340922076487764e-1,-1.516210605095588346e-2,-5.956685535945241972e-1,9.002820917516586308e-1,2.789581419639077797e-1,1.286838020313650910e0,-1.228478900492707471e0,-1.281666666407703303e1
